No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
21,Intan Permadi,Permadi Tukang Lukis,"Lukisan Dinding, Seni Mural",Tangerang,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.3
22,Eko Santoso,Santoso Tukang Besi,"Pembuatan Pagar, Konstruksi",Jakarta Selatan,"Sen-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.5
23,Lia Agustiani,Agustiani Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Timur,"Sel-Jum, 9 Pagi - 6 Sore","Rp150,000 ",4.6
24,Yudi Wijaya,Yudi Tukang AC,"Servis AC, Pemasangan AC Baru",Bekasi Timur,"Sen-Sab, 10 Pagi - 7 Sore","Rp200,000 ",4.8
25,Dewi Cahyani,Cahyani Taman,"Perawatan Taman, Desain Lanskap",Bekasi Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.4
26,Adi Rustova,RustovaTukang Kayu,"Pembuatan Kayu, Mebel",Jakarta Utara,"Sen-Jum, 8 Pagi - 5 Sore","Rp160,000 ",4.2
27,Maya Permadi,Permadi Cat & Dekor,"Pengecatan, Dekorasi Rumah",Tangerang Selatan,"Sel-Sab, 9 Pagi - 6 Sore","Rp130,000 ",4
28,Iwan Santoso,Santoso Tukang Kaca,"Pemasangan Kaca, Kaca Film",Bogor,"Sen-Ming, 24/7 Darurat","Rp190,000 ",4.6
29,Rina Susanto,Susanto Tukang Pipa,"Perpipaan, Plumbing",Depok,"Sen-Sab, 7 Pagi - 4 Sore","Rp140,000 ",4.3
30,Eko Jaya,Jaya Taman,"Perawatan Taman, Desain Lanskap",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp150,000 ",4.5
31,Rina Elektra,Elektra Listrik,"Listrik, Instalasi Kabel",Jakarta Timur,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.2
32,Ahmad Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.7
33,Nia Handayani,Handayani Interior,"Desain Interior, Renovasi",Tangerang,"Sel-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.4
34,Budi Kusuma,Kusuma Plumbing,"Perpipaan, Penyumbatan",Bogor,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.8
35,Sari Pratiwi,Pratiwi Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp150,000 ",4
36,Hani Santoso,Santoso Elektrik,"Listrik, Instalasi Kabel",Bekasi,"Sen-Sab, 10 Pagi - 7 Sore","Rp190,000 ",4.6
37,Rizky Permata,Permata Tukang Lukis,"Lukisan Dinding, Mural",Tangerang Selatan,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.3
38,Eko Suryadi,Suryadi Tukang Besi,"Pembuatan Pagar, Konstruksi",Jakarta Utara,"Sel-Sab, 9 Pagi - 6 Sore","Rp160,000 ",4.5
39,Dita Wijaya,Wijaya Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.2
40,Indra Mulyadi,Mulyadi Tukang AC,"Servis AC, Isi Freon",Depok,"Sen-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.7
41,Dian Cahyani,Cahyani Taman,"Perawatan Taman, Lanskap",Jakarta Timur,"Sel-Jum, 9 Pagi - 6 Sore","Rp180,000 ",4.5
42,Agus Wibowo,Wibowo Tukang Aluminium,Pemasangan Aluminium,Tangerang Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.8
43,Yuni Setyawati,Setyawati Tukang Cat,"Pengecatan, Mural",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp200,000 ",4.6
44,Irfan Sudarmo,Sudarmo Tukang Pipa,"Perpipaan, Instalasi Pipa Gas",Bogor,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.9
45,Rini Kurniawan,Kurniawan Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Selatan,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.3
46,Arif Prasetyo,Prasetyo Tukang Listrik,"Instalasi Listrik, Wiring",Tangerang,"Sel-Sab, 10 Pagi - 7 Sore","Rp160,000 ",4.5
47,Dina Permadi,Permadi Tukang Lukis,"Lukisan Dinding, Seni Mural",Jakarta Pusat,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.6
48,Eko Santoso,Santoso Tukang Besi,"Pembuatan Pagar, Konstruksi",Bekasi,"Sel-Jum, 9 Pagi - 6 Sore","Rp160,000 ",4.5
49,Lia Agustiani,Agustiani Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Timur,"Sel-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.6
50,Yudi Wijaya,Wijaya Tukang AC,"Servis AC, Pemasangan AC Baru",Bekasi Timur,"Sen-Jum, 8 Pagi - 5 Sore","Rp200,000 ",4.8
51,Dewi Cahyani,Cahyani Taman,"Perawatan Taman, Desain Lanskap",Jakarta Timur,"Sen-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.4
52,Adi Prabowo,Adi Tukang Kayu,"Pembuatan Kayu, Mebel",Jakarta Utara,"Sen-Jum, 8 Pagi - 5 Sore","Rp160,000 ",4.2
53,Maya Permadi,Permadi Cat & Dekor,"Pengecatan, Dekorasi Rumah",Tangerang Selatan,"Sel-Sab, 9 Pagi - 6 Sore","Rp130,000 ",4
54,Iwan Santoso,Santoso Tukang Kaca,"Pemasangan Kaca, Kaca Film",Bogor,"Sen-Ming, 24/7 Darurat","Rp190,000 ",4.6
55,Rina Susanto,Susanto Tukang Pipa,"Perpipaan, Plumbing",Depok,"Sen-Sab, 7 Pagi - 4 Sore","Rp140,000 ",4.3
56,Eko Jaya,Jaya Taman,"Perawatan Taman, Desain Lanskap",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp150,000 ",4.5
57,Rina Elektra,Elektra Listrik,"Listrik, Instalasi Kabel",Jakarta Timur,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.2
58,Ahmad Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.7
59,Nia Handayani,Handayani Interior,"Desain Interior, Renovasi",Tangerang,"Sel-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.4
60,Budi Kusuma,Kusuma Plumbing,"Perpipaan, Penyumbatan",Bogor,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.8
61,Sari Pratiwi,Pratiwi Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp150,000 ",4
62,Hani Santoso,Santoso Elektrik,"Listrik, Instalasi Kabel",Bekasi,"Sen-Sab, 10 Pagi - 7 Sore","Rp190,000 ",4.6
63,Rizky Permata,Permata Tukang Lukis,"Lukisan Dinding, Mural",Tangerang Selatan,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.3
64,Eko Suryadi,Suryadi Tukang Besi,"Pembuatan Pagar, Konstruksi",Jakarta Utara,"Sel-Sab, 9 Pagi - 6 Sore","Rp160,000 ",4.5
65,Dita Wijaya,Wijaya Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.2
66,Indra Mulyadi,Indra Tukang AC,"Servis AC, Isi Freon",Depok,"Sen-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.7
67,Dian Cahyani,Cahyani Taman,"Perawatan Taman, Lanskap",Jakarta Timur,"Sel-Jum, 9 Pagi - 6 Sore","Rp180,000 ",4.5
68,Agus Wibowo,Wibowo Tukang Aluminium,Pemasangan Aluminium,Tangerang Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.8
69,Yuni Setyawati,Setyawati Tukang Cat,"Pengecatan, Mural",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp200,000 ",4.6
70,Irfan Sudarmo,Sudarmo Tukang Pipa,"Perpipaan, Instalasi Pipa Gas",Bogor,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.9
71,Rini Kurniawan,Kurniawan Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Selatan,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.3
72,Arif Prasetyo,Prasetyo Tukang Listrik,"Instalasi Listrik, Wiring",Tangerang,"Sel-Sab, 10 Pagi - 7 Sore","Rp160,000 ",4.5
73,Dina Permadi,Permadi Tukang Lukis,"Lukisan Dinding, Seni Mural",Jakarta Pusat,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.6
74,Bayu Santoso,Santoso Tukang Besi,"Pembuatan Pagar, Konstruksi",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.7
75,Nita Agustiani,Agustiani Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Timur,"Sel-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.8
76,Yoga Wijaya,Wijaya Tukang AC,"Servis AC, Pemasangan AC Baru",Tangerang Selatan,"Sen-Ming, 8 Pagi - 5 Sore","Rp190,000 ",4.9
77,Cindy Cahyani,Cahyani Taman,"Perawatan Taman, Desain Lanskap",Jakarta Barat,"Sen-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.8
78,Dani Prabowo,Prabowo Tukang Kayu,"Pembuatan Kayu, Mebel",Bogor,"Sel-Sab, 10 Pagi - 7 Sore","Rp210,000 ",4.7
79,Dino Permadi,Permadi Cat & Dekor,"Pengecatan, Dekorasi Rumah",Depok,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.6
80,Maya Santoso,Santoso Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Utara,"Sen-Sab, 9 Pagi - 6 Sore","Rp160,000 ",4.5
81,Rudi Susanto,Susanto Tukang Pipa,"Perpipaan, Plumbing",Tangerang,"Sen-Ming, 24/7 Darurat","Rp130,000 ",4.4
82,Putri Jaya,Jaya Taman,"Perawatan Taman, Desain Lanskap",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp140,000 ",4.3
83,Tono Elektra,Elektra Listrik,"Listrik, Instalasi Kabel",Jakarta Timur,"Sen-Jum, 9 Pagi - 6 Sore","Rp150,000 ",4.2
84,Rina Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.1
85,Irfan Handayani,Handayani Interior,"Desain Interior, Renovasi",Tangerang Selatan,"Sel-Ming, 8 Pagi - 5 Sore","Rp190,000 ",4
86,Rina Kusuma,Kusuma Plumbing,"Perpipaan, Penyumbatan",Bogor,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.9
87,Dodi Pratiwi,Pratiwi Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp210,000 ",4.8
88,Hendra Santoso,Santoso Elektrik,"Listrik, Instalasi Kabel",Bekasi,"Sen-Sab, 10 Pagi - 7 Sore","Rp220,000 ",4.7
89,Wulan Permata,Permata Tukang Lukis,"Lukisan Dinding, Mural",Tangerang Selatan,"Sen-Jum, 8 Pagi - 5 Sore","Rp230,000 ",4.6
90,Eko Suryadi,Suryadi Tukang Besi,"Pembuatan Pagar, Konstruksi",Jakarta Utara,"Sel-Sab, 9 Pagi - 6 Sore","Rp240,000 ",4.5
91,Nia Wibowo,Wibowo Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.4
92,Fandi Mulyadi,Mulyadi Tukang AC,"Servis AC, Isi Freon",Depok,"Sen-Ming, 8 Pagi - 5 Sore","Rp160,000 ",4.7
93,Rini Cahyani,Cahyani Taman,"Perawatan Taman, Lanskap",Jakarta Timur,"Sel-Jum, 9 Pagi - 6 Sore","Rp180,000 ",4.5
94,Dino Agustiani,Agustiani Tukang Aluminium,Pemasangan Aluminium,Tangerang Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.8
95,Yuni Setiawan,Setiawan Tukang Cat,"Pengecatan, Mural",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp200,000 ",4.6
96,Irfan Sudarmo,Sudarmo Tukang Pipa,"Perpipaan, Instalasi Pipa Gas",Bogor,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.9
97,Rini Kurniawan,Kurniawan Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Selatan,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.3
98,Arif Prasetyo,Prasetyo Tukang Listrik,"Instalasi Listrik, Wiring",Tangerang,"Sel-Sab, 10 Pagi - 7 Sore","Rp160,000 ",4.5
99,Dina Permadi,Permadi Tukang Lukis,"Lukisan Dinding, Seni Mural",Jakarta Pusat,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",4.6
100,Bayu Santoso,Santoso Tukang Besi,"Pembuatan Pagar, Konstruksi",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp170,000 ",4.7
101,Nita Agustiani,Agustiani Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Timur,"Sel-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.8
102,Yoga Wijaya,Wijaya Tukang AC,"Servis AC, Pemasangan AC Baru",Tangerang Selatan,"Sen-Ming, 8 Pagi - 5 Sore","Rp190,000 ",4.9
103,Cindy Cahyani,Cahyani Taman,"Perawatan Taman, Desain Lanskap",Jakarta Barat,"Sen-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.8
104,Dani Bonda,Bonda Tukang Kayu,"Pembuatan Kayu, Mebel",Bogor,"Sel-Sab, 10 Pagi - 7 Sore","Rp210,000 ",4.7
105,Dino Permadi,Permadi Cat & Dekor,"Pengecatan, Dekorasi Rumah",Depok,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.6
106,Maya Santoso,Santoso Tukang Kaca,"Pemasangan Kaca, Kaca Film",Jakarta Utara,"Sen-Sab, 9 Pagi - 6 Sore","Rp160,000 ",4.5
107,Rudi Susanto,Susanto Tukang Pipa,"Perpipaan, Plumbing",Tangerang,"Sen-Ming, 24/7 Darurat","Rp130,000 ",4.4
108,Putri Jaya,Jaya Taman,"Perawatan Taman, Desain Lanskap",Bekasi,"Sen-Jum, 9 Pagi - 6 Sore","Rp140,000 ",4.3
109,Tono Elektra,Elektra Listrik,"Listrik, Instalasi Kabel",Jakarta Timur,"Sen-Jum, 9 Pagi - 6 Sore","Rp150,000 ",4.2
110,Rina Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",4.1
111,Ida Setiawan,Setiawan Tukang Cat,"Pengecatan, Mural",Yogyakarta,"Sen-Jum, 8 Pagi - 5 Sore","Rp200,000 ",3.7
112,Budi Sudarmo,Sudarmo Tukang Pipa,"Perpipaan, Instalasi Pipa Gas",Semarang,"Sen-Ming, 8 Pagi - 5 Sore","Rp150,000 ",3.2
113,Ratna Wijaya,Wijaya Tukang Keramik,"Pemasangan Keramik, Renovasi",Yogyakarta,"Sel-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.2
114,Agus Mulyadi,Mulyadi Tukang AC,"Servis AC, Isi Freon",Semarang,"Sen-Ming, 8 Pagi - 5 Sore","Rp160,000 ",3.9
115,Nia Cahyani,Cahyani Taman,"Perawatan Taman, Lanskap",Yogyakarta,"Sen-Jum, 9 Pagi - 6 Sore","Rp180,000 ",4.5
116,Eko Agustiani,Agustiani Tukang Aluminium,Pemasangan Aluminium,Semarang,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",3.8
117,Yuni Setiawan,Setiawan Tukang Cat,"Pengecatan, Mural",Yogyakarta,"Sel-Ming, 8 Pagi - 5 Sore","Rp190,000 ",3.5
118,Dani Prabowo,Prabowo Tukang Kayu,"Pembuatan Kayu, Mebel",Semarang,"Sel-Sab, 10 Pagi - 7 Sore","Rp210,000 ",4.1
119,Dino Permadi,Permadi Cat & Dekor,"Pengecatan, Dekorasi Rumah",Yogyakarta,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",3.7
120,Maya Santoso,Santoso Tukang Kaca,"Pemasangan Kaca, Kaca Film",Semarang,"Sen-Sab, 9 Pagi - 6 Sore","Rp160,000 ",4.2
121,Rudi Susanto,Susanto Tukang Pipa,"Perpipaan, Plumbing",Yogyakarta,"Sen-Ming, 24/7 Darurat","Rp130,000 ",3.8
122,Putri Jaya,Jaya Taman,"Perawatan Taman, Desain Lanskap",Semarang,"Sen-Jum, 9 Pagi - 6 Sore","Rp140,000 ",3.5
123,Tono Elektra,Elektra Listrik,"Listrik, Instalasi Kabel",Yogyakarta,"Sen-Jum, 9 Pagi - 6 Sore","Rp150,000 ",3.9
124,Rina Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Semarang,"Sen-Sab, 10 Pagi - 7 Sore","Rp170,000 ",3.6
125,Irfan Handayani,Handayani Interior,"Desain Interior, Renovasi",Yogyakarta,"Sel-Ming, 8 Pagi - 5 Sore","Rp190,000 ",4
126,Rina Kusuma,Kusuma Plumbing,"Perpipaan, Penyumbatan",Semarang,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",3.7
127,Dodi Pratiwi,Pratiwi Tukang Kaca,"Pemasangan Kaca, Kaca Film",Yogyakarta,"Sen-Jum, 8 Pagi - 5 Sore","Rp210,000 ",3.9
128,Hendra Santoso,Santoso Elektrik,"Listrik, Instalasi Kabel",Semarang,"Sen-Sab, 10 Pagi - 7 Sore","Rp220,000 ",3.6
129,Wulan Permata,Permata Tukang Lukis,"Lukisan Dinding, Mural",Yogyakarta,"Sen-Jum, 8 Pagi - 5 Sore","Rp230,000 ",4.1
130,Eko Suryadi,Suryadi Tukang Besi,"Pembuatan Pagar, Konstruksi",Semarang,"Sel-Sab, 9 Pagi - 6 Sore","Rp240,000 ",3.8
131,Joko Hartono,Hartono Tukang AC,Tukang AC,Solo,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 130.000,"2,8"
132,Fitri Nugroho,"Nugroho Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,7"
133,Joko Gunawan,Gunawan Foto dan Videografi,Foto dan Videografi,Kebumen,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,8"
134,Agus Hartono,"Hartono Instalasi Pipa, Perpipaan Gas","Instalasi Pipa, Perpipaan Gas",Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 140.000,"4,9"
135,Dian Pratama,Pratama Design dan Cetak,Design dan Cetak,Purwokerto,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,5"
136,Sinta Wijaya,Wijaya Tukang Kayu,Tukang Kayu,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"3,5"
137,Fina Wati,Wati Tukang Kayu,Tukang Kayu,Wonosobo,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 90.000,"4,5"
138,Joko Gunawan,Gunawan Foto dan Videografi,Foto dan Videografi,Tasikmalaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 140.000,"4,8"
139,Hendra Lestari,Lestari Foto dan Videografi,Foto dan Videografi,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,7"
140,Sari Permatasari,Permatasari Design Logo,Design Logo,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 100.000,"3,5"
141,Rudi Gunawan,Gunawan Tukang AC,Tukang AC,Kebumen,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"4,8"
142,Hery Permatasari,Permatasari Design dan Cetak,Design dan Cetak,Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 150.000,4
143,Lina Kurniawan,"Kurniawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Bandung,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 140.000,"4,9"
144,Linda Lestari,"Lestari Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 95.000,"3,5"
145,Nina Wati,Wati Foto dan Videografi,Foto dan Videografi,Sleman,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 100.000,"3,5"
146,Adi Utami,Utami Design dan Fotografi,Design dan Fotografi,Cilacap,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 95.000,"4,9"
147,Fina Wijaya,Wijaya Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,9"
148,Fina Kusuma,Kusuma Foto dan Videografi,Foto dan Videografi,Surabaya,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 120.000,"4,3"
149,Putri Hartono,Hartono Instalasi Listrik,Instalasi Listrik,Purwokerto,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,3"
150,Nina Wati,Wati Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,3"
151,Dewi Saputri,Saputri Design Logo,Design Logo,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 60.000,"3,2"
152,Ivan Purba,Purba Instalasi Pipa,Instalasi Pipa,Pekalongan,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 60.000,"2,8"
153,Eko Susanto,Susanto Tukang AC,Tukang AC,Bandung,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,4
154,Surya Wibowo,Wibowo Instalasi Listrik,Instalasi Listrik,Sleman,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 100.000,"4,3"
155,Rina Hadi,Hadi Tukang Bangunan dan Pengecetan,Tukang Bangunan dan Pengecetan,Solo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 60.000,"4,2"
156,Dewa Gunawan,"Gunawan Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Surabaya,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,3"
157,Wati Saputra,Saputra Design Logo,Design Logo,Wonosobo,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,6"
158,Adi Gunawan,Gunawan Instalasi Pipa,Instalasi Pipa,Bekasi,"Sen-Jum, 8 Pagi - 5 Sore",Rp. 95.000,"3,2"
159,Rina Wijaya,"Wijaya Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Semarang,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 70.000,"4,2"
160,Linda Saputri,Saputri Design Logo,Design Logo,Sleman,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 130.000,"4,8"
161,Rahayu Susanto,"Susanto Instalasi Listrik, Listrik Rumah Tangga","Instalasi Listrik, Listrik Rumah Tangga",Sleman,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 80.000,"4,2"
162,Ani Saputri,Saputri Tukang AC,Tukang AC,Pekalongan,"Sen-Kam, 7 Pagi - 5 Sore",Rp. 120.000,"4,2"
163,Dewa Setiawan,Setiawan Foto dan Videografi,Foto dan Videografi,Boyolali,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,4
164,Fitri Wati,Wati Design dan Cetak,Design dan Cetak,Purwokerto,"Sen-Minggu, 11 Pagi - 4 Sore",Rp. 150.000,"3,2"
165,Andi Kurniawan,Kurniawan Instalasi Pipa,Instalasi Pipa,Banyuwangi,"Sen-Sab, 10 Pagi - 5 Sore",Rp. 150.000,"4,7"
